Pincode,AreaCode,ProcessCode,HubZoneName,HubCity,HubState,COD,PrePaid,HasReversePickUpService
100002,,,North,Delhi,DELHI,N,N,N
100003,,,North,Delhi,DELHI,Y,Y,Y
100004,,,South-2,Banglore,KARNATAKA,N,N,N
100005,,,South-2,BANGALORE,KARNATAKA,N,N,N
100006,,,West,Mumbai,MAHARASHTRA,N,N,N
100007,,,West,Rajkot,GUJARAT,N,N,N
100008,,,West,Pune,MAHARASHTRA,N,N,N
100009,,,South-1,HYDERABAD,TELANGANA,N,N,N
100010,,,West,Himmatnagar,GUJARAT,N,N,N
100011,,,South-2,BANGALORE,KARNATAKA,N,N,N
100012,,,North,Gurgaon,HARYANA,N,N,N
100025,,,South-2,BANGALORE,KARNATAKA,N,N,N
100051,,,South-1,CHENNAI,TAMIL NADU,N,N,N
100052,,,South-1,HYDERABAD,TELANGANA,N,N,N
100093,,,North,Bareilly,UTTAR PRADESH,N,N,N
100100,,,North,Hisar,HARYANA,N,N,N
100107,,,South-2,Madurai,TAMIL NADU,N,N,N
100110,,,West,GODHRA,GUJARAT,N,N,N
100127,,,East,Shillong,MEGHALAYA,N,N,N
100171,,,South-1,VIJAYAWADA,ANDHRA PRADESH,N,N,N
100200,,,West,KOLHAPUR,MAHARASHTRA,N,N,N
